,title,Unnamed: 0,Unnamed: 0.1,platform,score,genre,release_year,Dreamcast,"Game Boy (Color, Advance)",GameCube,Mobile,"Nintendo (DS, 3DS, DSi)",Nintendo 64,PC,"PlayStation (1, 2 ,3, 4)","PlayStation (Portable, Vita)",Wii (U),"Xbox (360, One)",iPad,Action,Adventure,Board,Card,Educational,Fighting,Hunting,Music,Party,Platformer,Puzzle,RPG,Racing,Shooter,Simulation,Sports,Strategy
0,#IDARB,16578,18007,"Xbox (360, One)","(7, 8]",Party,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,'Splosion Man,12104,13215,"Xbox (360, One)","(8, 9]",Action,2009,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,.hack//G.U. Vol. 1: Rebirth,9131,9869,"PlayStation (1, 2 ,3, 4)","(4, 5]",RPG,2007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,.hack//G.U. Vol. 2: Reminisce,9133,9871,"PlayStation (1, 2 ,3, 4)","(5, 6]",RPG,2007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,.hack//G.U. Vol.3: Redemption,9128,9866,"PlayStation (1, 2 ,3, 4)","(5, 6]",RPG,2007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,.hack//INFECTION (Part 1),17537,4609,"PlayStation (1, 2 ,3, 4)","(8, 9]",RPG,2003,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,.hack//MUTATION (Part 2),17564,4792,"PlayStation (1, 2 ,3, 4)","(8, 9]",RPG,2003,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,.hack//OUTBREAK (Part 3),17616,5134,"PlayStation (1, 2 ,3, 4)","(8, 9]",RPG,2003,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,.hack//QUARANTINE (Part 4),17713,5526,"PlayStation (1, 2 ,3, 4)","(8, 9]",RPG,2004,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,0 Day: Attack on Earth,12849,14026,"Xbox (360, One)","(3, 4]",Shooter,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
